S1,S2,S3
677,260,447
673,258,444
664,255,437
664,254,439
664,255,442
658,256,446
655,256,429
652,256,433
653,256,458
657,254,446
661,255,397
669,257,443
665,253,420
670,256,425
655,254,418
670,256,449
659,256,418
668,256,443
666,255,411
668,261,451
676,255,415
654,275,425
647,268,419
627,265,440
637,268,459
