S1,S2,S3
754,369,387
750,371,377
740,369,357
739,369,352
732,368,370
735,367,374
730,362,352
734,368,392
724,360,357
734,366,345
725,364,390
735,367,394
731,371,393
729,368,366
744,371,428
741,361,406
716,353,342
735,365,402
729,357,365
726,362,372
