S1,S2,S3
153,303,260
156,284,242
152,275,239
159,294,255
152,269,244
152,260,243
161,266,254
160,266,246
152,268,245
159,267,267
159,271,265
149,264,256
153,263,260
155,283,261
155,284,258
159,266,253
162,274,269
162,281,281
162,283,276
165,286,284
