S1,S2,S3
701,306,304
692,299,301
707,296,294
683,299,290
704,301,314
703,301,313
713,306,314
684,298,295
702,298,301
701,297,296
693,297,295
695,296,294
702,297,311
693,296,321
685,298,299
687,299,296
688,298,297
691,299,315
686,298,291
696,299,293
