S1,S2,S3
323,235,390
329,237,384
325,232,374
323,231,370
322,230,365
327,231,372
324,229,364
317,240,376
323,235,367
322,232,367
321,235,367
322,229,371
323,236,380
324,226,364
322,229,365
325,231,363
321,227,357
319,230,355
319,235,371
322,227,363
