pressure,C1,C2,C3,C4,C5,C6,C7,F1,F2,F3,F4,F5,F6
35,24.6,25.8,26.9,27.4,25.9,26.5,25.5,17.1,15.9,17.3,17,16.1,16.9
25,20.7,21.8,22,23.6,22.7,21.1,20.3,13.3,13.6,14,14.5,15,15.1
12.5,11.4,12.6,13.5,13.9,11.4,12.7,12.5,9.1,8.8,8.2,8.6,8,9.1
6.5,5.1,6.1,5.6,5,5.2,5.7,5.8,4.7,5,4.6,5.1,5.2,4.9
