pressure,C1,C2,C3,C4,C5,C6,C7,F1,F2,F3,F4,F5,F6
35,41.8,39.4,40.5,39,39.3,40.2,38.4,26,27.1,28.5,25.9,29.2,27.3
25,28.7,31.2,29.8,32.1,30.9,30.8,32,21.8,21.9,22.1,21.7,24.6,23
12.5,19.4,19.9,19.8,20.4,19.8,20.3,19.4,13.3,14.7,14.6,15.8,15.2,15.8
6.5,9.2,9.6,9.8,9.9,9.7,10.2,10.9,6.8,7,8.2,8.1,8,8.4
