S1,S2,S3
183,224,226
183,223,235
179,224,237
193,254,255
179,223,230
182,235,220
185,234,218
195,238,221
188,231,223
204,245,200
188,231,218
180,217,227
181,216,226
181,219,225
195,250,212
212,246,198
185,225,217
182,223,215
202,248,236
197,217,247
179,225,242
