S1,S2,S3
279,266,263
270,264,268
267,263,259
276,266,257
275,264,255
274,269,259
285,274,274
282,273,266
309,259,234
300,245,261
304,245,248
270,250,273
273,254,258
275,259,270
297,254,271
272,257,273
265,254,268
276,253,256
268,256,267
263,247,251
