S1,S2,S3
138,196,386
134,192,373
137,191,332
141,193,357
141,189,355
136,189,365
137,188,357
141,189,340
139,188,337
141,189,338
143,190,355
143,194,386
144,193,383
143,193,369
142,191,370
142,191,369
148,189,364
147,187,359
145,186,357
146,190,375
