S1,S2,S3
335,325,339
362,336,309
362,330,327
362,335,337
354,341,323
387,363,307
376,348,316
351,366,305
337,334,339
356,347,320
354,345,310
362,352,307
356,346,300
357,347,303
366,354,297
367,352,311
349,344,335
353,349,322
345,344,324
356,355,322
