S1,S2,S3
874,362,385
884,365,395
878,364,368
878,365,374
873,363,372
874,365,381
878,364,387
872,362,404
866,360,370
872,364,391
878,365,408
871,364,399
868,363,403
871,363,369
873,363,387
874,365,394
861,360,377
872,361,394
868,361,401
862,359,398
